Local Authority,Sum of Value,Measures,Year,Quarter,Month,Attribute
Blackburn with Darwen,8.2,Confidence,2015,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,9.3,Confidence,2015,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,8.1,Confidence,2015,Qtr 4,December,% of  ethnic minority aged 16-64 who are economically inactive
Blackburn with Darwen,11.5,Confidence,2015,Qtr 4,December,% of  ethnic minority females of  aged 16-64 who are economically inactive
Blackburn with Darwen,10,Confidence,2015,Qtr 4,December,% of  ethnic minority males of  aged 16-64 who are economically inactive
Blackburn with Darwen,7.1,Confidence,2015,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
Blackburn with Darwen,6.7,Confidence,2015,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
Blackburn with Darwen,3.1,Confidence,2015,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
Blackburn with Darwen,7,Confidence,2015,Qtr 4,December,16+ unemployment rate - ethnic minority
Blackburn with Darwen,1.9,Confidence,2015,Qtr 4,December,16+ unemployment rate - white
Blackburn with Darwen,9.3,Confidence,2015,Qtr 4,December,16+ unemployment rate for all Indians
Blackburn with Darwen,6.1,Confidence,2015,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,8.1,Confidence,2015,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,9.4,Confidence,2015,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,8.2,Confidence,2016,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
Blackburn with Darwen,11.8,Confidence,2016,Qtr 2,June,% of  ethnic minority females of  aged 16-64 who are economically inactive
Blackburn with Darwen,10.2,Confidence,2016,Qtr 2,June,% of  ethnic minority males of  aged 16-64 who are economically inactive
Blackburn with Darwen,7,Confidence,2016,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
Blackburn with Darwen,6.9,Confidence,2016,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
Blackburn with Darwen,3.1,Confidence,2016,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
Blackburn with Darwen,6.3,Confidence,2016,Qtr 2,June,16+ unemployment rate - ethnic minority
Blackburn with Darwen,1.9,Confidence,2016,Qtr 2,June,16+ unemployment rate - white
Blackburn with Darwen,6.1,Confidence,2016,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,8.1,Confidence,2016,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,9.3,Confidence,2016,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,8.5,Confidence,2016,Qtr 4,December,% of  ethnic minority aged 16-64 who are economically inactive
Blackburn with Darwen,12,Confidence,2016,Qtr 4,December,% of  ethnic minority females of  aged 16-64 who are economically inactive
Blackburn with Darwen,10.6,Confidence,2016,Qtr 4,December,% of  ethnic minority males of  aged 16-64 who are economically inactive
Blackburn with Darwen,7.3,Confidence,2016,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
Blackburn with Darwen,6.9,Confidence,2016,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
Blackburn with Darwen,3.2,Confidence,2016,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
Blackburn with Darwen,6.2,Confidence,2016,Qtr 4,December,16+ unemployment rate - ethnic minority
Blackburn with Darwen,1.7,Confidence,2016,Qtr 4,December,16+ unemployment rate - white
Blackburn with Darwen,6,Confidence,2016,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,8.3,Confidence,2016,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,8.7,Confidence,2016,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,8.4,Confidence,2017,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
Blackburn with Darwen,12.1,Confidence,2017,Qtr 2,June,% of  ethnic minority females of  aged 16-64 who are economically inactive
Blackburn with Darwen,10.9,Confidence,2017,Qtr 2,June,% of  ethnic minority males of  aged 16-64 who are economically inactive
Blackburn with Darwen,7.4,Confidence,2017,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
Blackburn with Darwen,7.4,Confidence,2017,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
Blackburn with Darwen,3.3,Confidence,2017,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
Blackburn with Darwen,5.6,Confidence,2017,Qtr 2,June,16+ unemployment rate - ethnic minority
Blackburn with Darwen,1.9,Confidence,2017,Qtr 2,June,16+ unemployment rate - white
Blackburn with Darwen,6.2,Confidence,2017,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,8.7,Confidence,2017,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,8.8,Confidence,2017,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,8.1,Confidence,2017,Qtr 4,December,% of  ethnic minority aged 16-64 who are economically inactive
Blackburn with Darwen,11.3,Confidence,2017,Qtr 4,December,% of  ethnic minority females of  aged 16-64 who are economically inactive
Blackburn with Darwen,10.5,Confidence,2017,Qtr 4,December,% of  ethnic minority males of  aged 16-64 who are economically inactive
Blackburn with Darwen,7.2,Confidence,2017,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
Blackburn with Darwen,7.3,Confidence,2017,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
Blackburn with Darwen,3.2,Confidence,2017,Qtr 4,December,% of  whites aged 16-64 who are economically inactive
Blackburn with Darwen,5.2,Confidence,2017,Qtr 4,December,16+ unemployment rate - ethnic minority
Blackburn with Darwen,2,Confidence,2017,Qtr 4,December,16+ unemployment rate - white
Blackburn with Darwen,6.3,Confidence,2017,Qtr 4,December,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,8.4,Confidence,2017,Qtr 4,December,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,9.4,Confidence,2017,Qtr 4,December,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,7.6,Confidence,2018,Qtr 2,June,% of  ethnic minority aged 16-64 who are economically inactive
Blackburn with Darwen,10.6,Confidence,2018,Qtr 2,June,% of  ethnic minority females of  aged 16-64 who are economically inactive
Blackburn with Darwen,9.5,Confidence,2018,Qtr 2,June,% of  ethnic minority males of  aged 16-64 who are economically inactive
Blackburn with Darwen,7.3,Confidence,2018,Qtr 2,June,% of  white females aged 16-64 who are economically inactive
Blackburn with Darwen,6.9,Confidence,2018,Qtr 2,June,% of  white males aged 16-64 who are economically inactive
Blackburn with Darwen,3.2,Confidence,2018,Qtr 2,June,% of  whites aged 16-64 who are economically inactive
Blackburn with Darwen,5.8,Confidence,2018,Qtr 2,June,16+ unemployment rate - ethnic minority
Blackburn with Darwen,1.9,Confidence,2018,Qtr 2,June,16+ unemployment rate - white
Blackburn with Darwen,11,Confidence,2018,Qtr 2,June,16+ unemployment rate for all Pakistanis/Bangladeshis
Blackburn with Darwen,6.2,Confidence,2018,Qtr 2,June,Economic activity rate aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,8.2,Confidence,2018,Qtr 2,June,Economic activity rate females aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,9.4,Confidence,2018,Qtr 2,June,Economic activity rate males aged 16-64 - EA core or work-limiting disabled
Blackburn with Darwen,7.2,Confidence,2018,Qtr 4,December,% of  ethnic minority aged 16-64 who are economically inactive
Blackburn with Darwen,10.5,Confidence,2018,Qtr 4,December,% of  ethnic minority females of  aged 16-64 who are economically inactive
Blackburn with Darwen,9.3,Confidence,2018,Qtr 4,December,% of  ethnic minority males of  aged 16-64 who are economically inactive
Blackburn with Darwen,7.3,Confidence,2018,Qtr 4,December,% of  white females aged 16-64 who are economically inactive
Blackburn with Darwen,6.9,Confidence,2018,Qtr 4,December,% of  white males aged 16-64 who are economically inactive
